Excavation Siglum;Excavation Numbers;Clemens 2001;Clemens 2001 type;Description;Genre;Object Type;Museum Number;Archive/General area;detail in general;Full TEO Findspot;Topographic Point;Find Depth;Associated Text;Script;Language;Size;KTU3;possible relevant (religious) genres;seal;note
RS;['1.018'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.006;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.018;Alphabetic;Ugaritic;68 x 59 x 25;2.4;;;
RS;['1.019'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.037;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.019;Alphabetic;Ugaritic;128 x 72 x 24;1.48;ritual/list (sacrifices);;
RS;['1.020'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.028;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.020;Alphabetic;Ugaritic;37 x 33 x 13;2.5;;;
RS;['1.021'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3362 = A2772 (AO 12.019 + 12.048);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.021;Alphabetic;Ugaritic;71 x 40 x 21;2.6;;+seal;
RS;['1.022'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3364 = A2774 + M3365 = A2775 (AO 12.036);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.022;Alphabetic;Ugaritic;74 x 69 x 26;1.49;ritual/list (sacrifices);;
RS;['1.023'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3332 = A2711 (AO 11.998);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.023;Alphabetic;Ugaritic;92 x 77 x 17;1.50;ritual/list (sacrifices);;
RS;['1.024B', '1.024A'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.035 B;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.024B;Alphabetic;Ugaritic;59 x 45 x 18, 61 x 74 x 19;4.17;religious/not economic?;;
RS;['1.025'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;M3406 = A2776 (AO 12.007);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.025;Alphabetic;Ugaritic;48 x 57 x 13;4.18;;;
RS;['1.027'];;;Tablet, Alphabetic Hurrian;;Tablet;AO 11.999;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.027;Alphabetic;Hurrian;73 x 60 x 27;1.51;hymn?;;
RS;['1.029[B]', '1.029[A]'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.005 + 25.163;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.029 [A]+;Alphabetic;Ugaritic;43 x 38 x 13, 80 x 70 x 10;4.5+4.19;;;
RS;['1.030'];PRAVDA;;Tablet, Alphabetic Hurrian;;Tablet;M3359 = A2748 (AO 12.027);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.030;Alphabetic;Hurrian;(?) 32 x 33 x 17;7.42;religious?;;
RS;['1.031', '1.008'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3358 = A2747 (AO 12.034 + 12.025);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.008+;Alphabetic;Ugaritic;100 x 65 x 21;1.45;scribal exercise?/myth?;;
RS;['1.032'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3346 = A2728 (AO 12.022);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.032;Alphabetic;Ugaritic;36 x 73 x 9;2.8;;;
RS;['1.033'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.023;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.033;Alphabetic;Ugaritic;70 x 40 x 8;1.53;ritual/list (sacrifices);;
RS;['1.035', '1.028'];;;Tablet, Alphabetic Hurrian;;Tablet;AO 12.011 + 12.013;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.028+;Alphabetic;Hurrian;95 x 70 x 28;1.52;religious;;
RS;['1.036'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3335 = A2715 (AO 12.020);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.036;Alphabetic;Ugaritic;45 x 40 x 21;4.20;;;
RS;['1.037'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3325 = A2771 (AO 12.014);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.037;Alphabetic;Ugaritic;41 x 38 x 8;1.55;myth?;;
RS;['1.038'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.030;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.038;Alphabetic;Ugaritic;18 x 29 x 8;4.21;;;
RS;['1.039'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.032;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.039;Alphabetic;Ugaritic;30 x 29 x 10;7.44;;;
RS;['1.040'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3452 = A7301 (AO 12.029);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.040;Alphabetic;Ugaritic;30 x 18 x 12;7.45;;;
RS;['1.041'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;M3408 = A2779 (AO 12.026);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.041;Alphabetic;Ugaritic;36 x 48 x 12;4.22;;;
RS;['1.042'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.039 bis;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.042;Alphabetic;Ugaritic;55 x 46 x 9;7.46;;;
RS;['1.044'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3409 = A2780 (AO 12.018);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.044;Alphabetic;Ugaritic;41 x 44 x 36;1.56;ritual?/list (sacrifices)?;;
RS;['1.045', '1.034'];;;Tablet, Alphabetic Hurrian;;Tablet;M3323 = A2744 (AO 12.009 + 12.001);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.034+;Alphabetic;Hurrian;57 x 72 x 24;1.54;hymn;;
RS;['1.046'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3324 = A2770 (AO 12.021);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.046;Alphabetic;Ugaritic;46 x 40 x 8;1.57;ritual?;;
RS;['1.047'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3386 = A2831 (AO 12.031);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.047;Alphabetic;Ugaritic;34 x 21 x 8;1.58;ritual/list (sacrifices);;
RS;['1.048'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.010;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.048;Alphabetic;Ugaritic;64 x 49 x 17;7.47;;;
RS;['22.439'];PRAVDA;Literary;"Tablet, Logosyllabic Akkadian; Hittite";;Tablet;DO 5863;House of the Literary Tablets;;"Ville Sud, Maison aux Textes Littéraires, p.t. 2694; 2687";;;RS 22.439;Logosyllabic;"Akkadian; Hittite";155 x 133 x 40;;literary;;
RS;['23.020'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 6095;South City;;Ville Sud, p.t. 2741 ? 1,40;2741;1,4;RS 23.020;Logosyllabic;Akkadian;52 x 77 x 21;;literary;;
RS;['19.084[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;House of Yabninu;;Palais Sud, room 203, p.t. 1635 ? 2,30;1635;2,3;RS 19.084 [A];Alphabetic;Ugaritic;22 x 24 x 8;;;;
RS;['11.[903]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.006 [F];;;unknown;;;RS 11.[903];Alphabetic;Ugaritic;60 x 15 x 9;;;;
RS;['25.443', '20.231'];PRAVDA;Literary;Tablet, Logosyllabic Akkadian;;Tablet;DO 6735;Lamaštu;;Sud Acropole, Maison aux Textes Magi- ques, pr?s p.t. 3975 ? 0,60;3975;0,6;RS 25.443;Logosyllabic;Akkadian;69 x 50 x 33;;literary;;
RS;['11.[904]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.006 [G];;;unknown;;;RS 11.[904];Alphabetic;Ugaritic;16 x 11 x 8;;;;
RS;['25.444'];PRAVDA;Literary?;Tablet, Logosyllabic Akkadian;;Tablet;DO 6736;Lamaštu;;Sud Acropole, Maison aux Textes Magiques, p.t. 5080 ? 0,40;5080;0,4;RS 25.444;Logosyllabic;Akkadian;28 x 45 x 29;;literary;;
RS;['11.[905]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.006 [H];;;unknown;;;RS 11.[905];Alphabetic;Ugaritic;15 x 12 x 4;;;;
RS;['25.460'];PRAVDA;Literary;Tablet, Logosyllabic Akkadian;;Tablet;DO 6752;Lamaštu;;Sud Acropole, Maison aux Textes Magiques, p.t. 5188 ? 1,20;5188;1,2;RS 25.460;Logosyllabic;Akkadian;101 x 73 x 33;;literary;;The Righteous Sufferer
RS;['10.062'];;;Tablet;;Tablet;;Northwest of the tell;;Butte NW Tell «S.R. 1963 ? 2,0»;;;RS 10.062;;;;;;;
RS;['11.[906]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.006 [I];;;unknown;;;RS 11.[906];Alphabetic;Ugaritic;10 x 12 x 7;;;;
RS;['11.[907]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.006 [J];;;unknown;;;RS 11.[907];Alphabetic;Ugaritic;7 x 12 x 5;;;;
RS;['11.[908]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.006 [K];;;unknown;;;RS 11.[908];Alphabetic;Ugaritic;14 x 9 x 5;;;;
RS;['11.[909]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.006 [L];;;unknown;;;RS 11.[909];Alphabetic;Ugaritic;10 x 9 x 6;;;;
RS;['11.[910]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.006 [M];;;unknown;;;RS 11.[910];Alphabetic;Ugaritic;9 x 9 x 4;;;;
RS;['11.[911]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.006 [N];;;unknown;;;RS 11.[911];Alphabetic;Ugaritic;7 x 7 x 4;;;;
RS;['10.102'];;;Tablet;;Tablet;M8497 = A2796;Northwest of the tell;;Butte NW Tell «S.R. 2086 ? 1,07»;;;;;;104 x 102 x 23;;;;
RS;['11.[912]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.006 [O];;;unknown;;;RS 11.[912];Alphabetic;Ugaritic;7 x 6 x 4;;;;
RS;['11.[916]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.007 [D];;;unknown;;;RS 11.[916];Alphabetic;Ugaritic;11 x 13 x 8;;;;
RS;['11.[917]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.007 [E];;;unknown;;;RS 11.[917];Alphabetic;Ugaritic;6 x 5 x 3;;;;
RS;['10.145'];;;Scarab, Hieroglyphic Egyptian;;Scarab;;Lower City;;Ville Basse Ouest «C.W. 2.166, 4.00»;;;RS 10.145;Hieroglyphic;Egyptian;(?);;;;
RS;['11.[918]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.007 [F];;;unknown;;;RS 11.[918];Alphabetic;Ugaritic;9 x 7 x 4;;;;
RS;['11.[919]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.007 [G];;;unknown;;;RS 11.[919];Alphabetic;Ugaritic;15 x 13 x 10;;;;
RS;['11.[921]'];;;Tablet, anepigraphic;;Tablet;AO 20.007 [H];;;;;;RS 11.[921];Alphabetic;Ugaritic;6 x 9 x 5;;;;
RS;['11.[992]'];;;Tablet, Alphabetic Ugaritic;;Tablet;;;;;;;RS 11.[992];Alphabetic;Ugaritic;;;;;
RS;['11.[996]'];;;Tablet, Alphabetic Ugaritic;;Tablet;;;;;;;RS 11.[996];Alphabetic;Ugaritic;;;;;
RS;['19.084[B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;House of Yabninu;;Palais Sud, room 203, p.t. 1635 ? 2,30;1635;2,3;RS 19.084 [B];Alphabetic;Ugaritic;15 x 17 x 4;;;;
RS;['19.158[C]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;House of Yabninu;;Palais Sud, room 204, p.t. 1647 ? 2,30;1647;2,3;RS 19.158 [C];Alphabetic;Ugaritic;22 x 15 x 5;;;;
RS;['19.158[D]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;House of Yabninu;;Palais Sud, room 204, p.t. 1647 ? 2,30;1647;2,3;RS 19.158 [D];Alphabetic;Ugaritic;20 x 18 x 9;;;;
RS;['19.158[E]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;House of Yabninu;;Palais Sud, room 204, p.t. 1647 ? 2,30;1647;2,3;RS 19.158 [E];Alphabetic;Ugaritic;16 x 17 x 7;;;;
RS;['19.158[F]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;House of Yabninu;;Palais Sud, room 204, p.t. 1647 ? 2,30;1647;2,3;RS 19.158 [F];Alphabetic;Ugaritic;19 x 12 x 17;;;;
RS;['19.158[G]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;House of Yabninu;;Palais Sud, room 204, p.t. 1647 ? 2,30;1647;2,3;RS 19.158 [G];Alphabetic;Ugaritic;7 x 14 x 4;;;;
RS;['1-11.[025]'];;;;;Tablet;AO 20.008 [B];;;unknown;;;RS 1-11.[025];Alphabetic;Ugaritic;16 x 28 x 15;;;;
RS;['1-11.[027]'];;;;;Tablet;AO 20.008 [D];;;unknown;;;RS 1-11.[027];Alphabetic;Ugaritic;9 x 7 x 6;;;;
RS;['1-11.[056]'];;;;;Tablet;AO 20.001, [ 1];;;unknown;;;RS 1-11.[056];Alphabetic;Ugaritic;30 x 20 x 25;;;;
RS;['1-11.[057]'];;;;;Tablet;AO 20.001, [ 2];;;unknown;;;RS 1-11.[057];Alphabetic;Ugaritic;37 x 29 x 27;;;;
RS;['1-11.[058]'];;;;;Tablet;AO 20.001, [ 3];;;unknown;;;RS 1-11.[058];Alphabetic;Ugaritic;41 x 18 x 16;;;;
RS;['1-11.[059]'];;;;;Tablet;AO 20.001, [ 4];;;unknown;;;RS 1-11.[059];Alphabetic;Ugaritic;27 x 32 x 17;;;;
RS;['1-11.[060]'];;;;;Tablet;AO 20.001, [ 5];;;unknown;;;RS 1-11.[060];Alphabetic;Ugaritic;23 x 32 x 11;;;;
RS;['1-11.[061]'];;;;;Tablet;AO 20.001, [ 6];;;unknown;;;RS 1-11.[061];Alphabetic;Ugaritic;18 x 20 x 7;;;;
RS;['1-11.[062]'];;;;;Tablet;AO 20.001, [ 7];;;unknown;;;RS 1-11.[062];Alphabetic;Ugaritic;21 x 34 x 13;;;;
RS;['1-11.[063]'];;;;;Tablet;AO 20.001, [ 8];;;unknown;;;RS 1-11.[063];Alphabetic;Ugaritic;16 x 18 x 6;;;;
RS;['1-11.[064]'];;;;;Tablet;AO 20.001, [ 9];;;unknown;;;RS 1-11.[064];Alphabetic;Ugaritic;21 x 17 x 7;;;;
RS;['1-11.[065]'];;;;;Tablet;AO 20.001, [10];;;unknown;;;RS 1-11.[065];Alphabetic;Ugaritic;39 x 43 x 18;;;;
RS;['1-11.[066]'];;;;;Tablet;AO 20.001, [11];;;unknown;;;RS 1-11.[066];Alphabetic;Ugaritic;6 x 20 x 5;;;;
RS;['11.261'];;;Vessel, Hieroglyphic Egyptian;;Vessel;AO 84 AO 550;Royal Palace;;Palais Royal (Archives Ouest), «S.R. 2260 ? 2,35»;;;RS 11.261;Hieroglyphic;Egyptian;13 x 8 x 3;;;;
RS;['11.329'];;;Vessel, Hieroglyphic Egyptian;;Vessel;AO 84 AO 548;Northwest of the tell;;Butte NW Tell «S.R. 2318 ? 2,0»;;;RS 11.329;Hieroglyphic;Egyptian;65 x 65 (cartouche);;;;
RS;['1-11.[067]'];;;;;Tablet;AO 20.001, [12];;;unknown;;;RS 1-11.[067];Alphabetic;Ugaritic;21 x 22 x 17;;;;
RS;['1-11.[068]'];;;;;Tablet;AO 20.001, [13];;;unknown;;;RS 1-11.[068];Alphabetic;Ugaritic;12 x 27 x 6;;;;
RS;['1-11.[069]'];;;;;Tablet;AO 20.001, [14];;;unknown;;;RS 1-11.[069];Alphabetic;Ugaritic;15 x 17 x 4;;;;
RS;['11.713'];;;Tablet;;Tablet;;Royal Palace;Western archive;Palais Royal, room 4 (Arch. W.) «S.R. 2387 ? 0,85 (1 frag. ? 1,15)»;;;RS 11.713;;;;;;;
RS;['11.714'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.004;Royal Palace;Western archive;Palais Royal, room 4 (Archi- ves W) «S.R. 2387 ? 0,85 (1 frag. ? 1,15)»;;;RS 11.714;Alphabetic;Ugaritic;95 x 65 x 24;4.67;;;
RS;['25.526A'];PRAVDA;Literary;Tablet, Logosyllabic Akkadian;;Tablet;DO 6768;Lamaštu;;Sud Acropole, Maison aux Textes Magi- ques, rég. p.t. 5164 ? 0,75;5164;0,75;RS 25.526A;Logosyllabic;Akkadian;73 x 83 x 27;;Literary;;
RS;['26.153'];PRAVDA;Religious;Tablet, Logosyllabic Akkadian;;Tablet;DO 6786;Lamaštu;;Sud Acropole, Maison aux Textes Magiques, p.t. 4268 ? 0,45;4268;0,45;RS 26.153;Logosyllabic;Akkadian;32 x 40 x 27;;literary;;
RS;['28.053B', '28.053B=', '23.[744B]'];PRAVDA;Religious;Tablet, Logosyllabic Akkadian;;Tablet;DO 6802;South City;;Ville Sud, «RS 60 Tr. 124, 2178 ? 1,40»;2178;;RS 28.053B;Logosyllabic;Akkadian;38 x 40 x 28;;literary;;
RS;['11.720'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;AO 19.989;Royal Palace;Western archive;Palais Royal, room 4 (Archi- ves W) «S.R. 2387»;;;RS 11.720;Alphabetic;Ugaritic;45 x 55 x 18;4.70;;;
RS;['20.185A,B', '20.180A', '20.180alpha', '20.143A', '20.123', '20.190A', '20.197E', '20.426C', '20.426E', '21.007B'];PRAVDA;Lexical, SaV;"Tablet, Logosyllabic Akkadian; Hurrian; Sumerian; Ugaritic";;Tablet;DO 5294;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1858 ? 1,30;1858;1,3;RS 20.123+;Logosyllabic;"Akkadian; Hurrian; Sumerian; Ugaritic";260 x 170 x 46;;lexical deities;;
RS;['86.2211'];PRAVDA;Lettre;Tablet, Logosyllabic Akkadian;;Tablet;DO 7753;House of Urtenu;;Quartier Sud Centre, Fosse 2043, D7/l1;;;RS 86.2211;Logosyllabic;Akkadian;84 x 46 x 29;;lettre;;it is as literary in Clemens 2001, but it is definitely a lettre (RSO XIV 19) ? why it is counted among religiously relevant, I do not know ? make a comment about that in the DB?
RS;['5.199'];PRAVDA;;Tablet, Alphabetic Akkadian;;Tablet;AO 17.295;Acropolis;;Acropole «Tr. T IV p.t. 81-82 ? 1,0-1,20» (=p.t. 484/486);;;RS 5.199;Alphabetic;Akkadian;54 x 68 x 22;1.67;incantaion;;
RS;['5.213'];PRAVDA;;Tablet, Alphabetic Akkadian;;Tablet;AO 17.294;Acropolis;;Acropole «Tr. T IV p.t. 81-82 ? 1,0-1,20» (=p.t. 484/486);;;RS 5.213;Alphabetic;Akkadian;68 x 72 x 24;1.69;incantaion;;
RS;['11.732[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 19.999;Royal Palace;Western archive;Palais Royal, room 5 (Archives Ouest) «S.R. 2405 ? 2,80»;;;RS 11.732 [A];Alphabetic;Ugaritic;21 x 15 x 10;;;;
RS;['5.157'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;M3339 = A2719 (AO 17.301);Acropolis;;Acropole «Tr. T IV p.t. 67 ? 0,95» (= p.t. 480);67;0,95;RS 5.157;Alphabetic;Ugaritic;72 x 42 x 23;7.50;religious?/incantation?;;
RS;['11.732'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 19.999;Royal Palace;Western archive;Palais Royal, room 5 (Archives Ouest) «S.R. 2405 ? 2,80»;;;RS 11.732;Alphabetic;Ugaritic;34 x 26 x 23;4.74;;;
RS;['5.218'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;M3340 = A2720 (AO 17.302);Acropolis;;Acropole «Tr. T IV p.t. 81-82 ? 1,0-1,20» (=p.t. 484/486);;;RS 5.218;Alphabetic;Ugaritic;43 x 34 x 23;7.55;incantation?/medical?;;
RS;['1-11.[070]'];;;;;Tablet;AO 20.001, [15];;;unknown;;;RS 1-11.[070];Alphabetic;Ugaritic;16 x 23 x 11;;;;
RS;['11.770'];;;Tablet;;Tablet;;Northwest of the tell;;Butte NW Tell «S.R. 2416 ? 1,15»;;;RS 11.770;;;;;;;
RS;['11.772', '11.802', '11.780', '11.782'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;M3428 = A2820;Royal Palace;;Palais Royal, Porche, «S.R. 2412 ? 0,85»;;;RS 11.772+;Alphabetic;Ugaritic;117 x 91 x 30;3.1;;;
RS;['1-11.[071]'];;;;;Tablet;AO 20.001, [16];;;unknown;;;RS 1-11.[071];Alphabetic;Ugaritic;18 x 12 x 13;;;;
RS;['11.774'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 19.965;Royal Palace;;Palais Royal, place devant entrée «S.R. 2417 ? 1,60»;;;RS 11.774;Alphabetic;Ugaritic;90 x 75 x 30;4.77;;;
RS;['11.775'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3416 = A2801;Royal Palace;Western archive;Palais Royal, room 5 (Archives Ouest), p.t. «2418 ? 1,20»;2418;1,2;RS 11.775;Alphabetic;Ugaritic;79 x 53 x 31;4.78;;;
RS;['11.777'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3382 = A2816;Royal Palace;Western archive;Palais Royal, room 5 (Archives Ouest), p.t. «2418 ? 1,20»;2418;1,2;RS 11.777;Alphabetic;Ugaritic;48 x 29 x 22;4.79;;;
RS;['11.778'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3381 = A2815;Royal Palace;Western archive;Palais Royal, room 5 (Archives Ouest), p.t. «2418 ? 1,20»;2418;1,2;RS 11.778;Alphabetic;Ugaritic;55 x 44 x 24;4.80;;;
RS;['11.779'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 19.976;Royal Palace;Western archive;Palais Royal, room 5 (Archives Ouest), p.t. «2418 ? 1,20»;2418;1,2;RS 11.779;Alphabetic;Ugaritic;55 x 45 x 21;4.81;;;
RS;['11.781'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3375 = A2808;Royal Palace;Western archive;Palais Royal, room 5 (Archives Ouest), p.t. «2418 ? 1,20»;2418;1,2;RS 11.781;Alphabetic;Ugaritic;62 x 37 x 30;4.82;;;
RS;['11.783'];;;Tablet;;Tablet;;Royal Palace;Western archive;Palais Royal, room 5 (Archives Ouest), p.t. «2418 ? 1,20»;2418;1,2;RS 11.783;;;;;;;
RS;['11.784'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 19.980;Royal Palace;;Palais Royal, place devant entrée, «S.R. 2425 ? 2,0»;;;RS 11.784;Alphabetic;Ugaritic;80 x 40 x 25;4.83;;;
RS;['11.785'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 19.997;Royal Palace;;Palais Royal, place devant entrée «S.R. 2425 ? 2,0»;;;RS 11.785;Alphabetic;Ugaritic;40 x 30 x 13;4.84;;;
RS;['11.786'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 19.963;Royal Palace;;Palais Royal, place devant entrée «S.R. 2422 ? 1,55»;;;RS 11.786;Alphabetic;Ugaritic;40 x 50 x 20;4.85;;;
RS;['16.416[bis]'];PRAVDA;Incantation;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Debris;;Déblais [editio princeps];;;RS 16.416 [bis];Logosyllabic;Sumerian;36 x 28 x 9;;incantaion;;
RS;['11.788'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 19.985;Royal Palace;Western archive;Palais Royal, room 5 (Archives Ouest), p.t. «2418 ? 1,20»;2418;1,2;RS 11.788;Alphabetic;Ugaritic;80 x 80 x 38;4.86;;;
RS;['11.789'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.006 [E];Royal Palace;Western archive;Palais Royal, room 5 (Archives Ouest), p.t. «2418 ? 1,20»;2418;1,2;RS 11.789;Alphabetic;Ugaritic;27 x 44 x 10;4.87;;;
RS;['20.163'];PRAVDA;;Tablet, Logosyllabic Ugaritic;;Tablet;DO 5335;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1893 ? 1,30;1893;1,3;RS 20.163;Logosyllabic;Ugaritic;68 x 100 x 28;10.1;incantation?/uncertain;;
RS;['20.161', '20.171', '20.171E', '20.171,7'];;;Tablet, Logosyllabic Akkadian;;Tablet;;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1893 ? 1,30;1893;1,3;;Logosyllabic;Akkadian;;;incantation/myth;;
RS;['11.792'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 19.979;Royal Palace;Western archive;Palais Royal, room 5 (Archives Ouest), p.t. «2418 ? 1,20»;2418;1,2;RS 11.792;Alphabetic;Ugaritic;35 x 45 x 23;4.104;;;
RS;['11.793'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3419 = A2804;Royal Palace;Western archive;Palais Royal, room 5 (Archives Ouest), p.t. «2418 ? 1,20»;2418;1,2;RS 11.793;Alphabetic;Ugaritic;55 x 61 x 23;4.88;;;
RS;['20.006'];PRAVDA;Incantation;Tablet, Logosyllabic Akkadian;;Tablet;DO 5269;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 6, p.t. 1807 ? 0,40;1807;0,4;RS 20.006;Logosyllabic;Akkadian;66 x 49 x 26;;incantation;;
RS;['11.795'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 19.974;Royal Palace;;Palais Royal, place devant entrée «S.R. 2423 ? 1,80»;;;RS 11.795;Alphabetic;Ugaritic;45 x 55 x 25;4.91;;;
RS;['11.796'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 19.972;Royal Palace;Western archive;Palais Royal, room 5 (Archives Ouest), p.t. «2418 ? 1,20»;2418;1,2;RS 11.796;Alphabetic;Ugaritic;54 x 64 x 22;4.89;;;
RS;['1-11.[072]'];;;;;Tablet;AO 20.001, [17];;;unknown;;;RS 1-11.[072];Alphabetic;Ugaritic;12 x 26 x 7;;;;
